Length_m,Inertia_m4,Force_N,Max_Deflection_m
4.9963209507789,7.776993932579295e-06,-7644.648846376846,-0.005587320588154091
9.60571445127933,1.3128514210675373e-05,-7777.190808352001,-0.023927813590154477
7.855951534491241,1.8094187538146125e-05,-1843.7087753106698,-0.0022514196194411973
6.789267873576293,1.598337329614342e-05,-7754.084201354445,-0.00691891073016771
3.248149123539492,1.709841721792175e-05,-7552.452464842321,-0.0006898374911268969
3.247956162689621,1.4881750500660762e-05,-3165.415638238326,-0.0003321345275923779
2.4646688973455957,1.5384148467767787e-05,-5952.34141794514,-0.00026399575851647776
8.92940916619948,1.7737934773479792e-05,-3009.604987403369,-0.005505305705911283
6.80892009394567,8.74502013288779e-06,-9411.704581920532,-0.015482782403904289
7.664580622368364,1.2341374454647109e-05,-5611.859256939541,-0.009330722119843291
2.1646759543664196,8.318141627294033e-06,-9697.477598350457,-0.0005389121532339318
9.759278817295954,1.981502011994971e-05,-9436.12116890181,-0.020172466034289706
8.659541126403374,1.91608900952992e-05,-1842.0629199003015,-0.0028449867123931803
3.6987128854262092,5.591402170527589e-06,-8746.791659941644,-0.00360733716877852
3.454599737656805,1.558362758773533e-05,-5208.213859523046,-0.000627943080698556
3.4672360788274705,1.887872476123499e-05,-6300.139576593641,-0.0006339201841332751
4.433937943676302,7.708630176910003e-06,-6873.910063670416,-0.0035424382679606127
6.198051453057903,1.3519178458289444e-05,-1901.4998888145474,-0.001526224283867963
5.455560149136926,1.873232446382063e-05,-9803.589429020594,-0.003872739745274726
4.329833121584335,5.509189678786983e-06,-4025.8928244196986,-0.0027033033533792
6.894823157779036,1.54613040087026e-05,-1329.4500920780465,-0.0012844054451526985
3.1159508852163347,9.460235110588263e-06,-4958.486348843422,-0.0007226463725810427
4.337157188281745,1.8865942930647957e-05,-1568.5978417021743,-0.00030914014605645514
4.930894746349534,1.956587367748052e-05,-9529.679086425785,-0.002661111377892052
5.648559873736287,1.9163997336701512e-05,-6230.860128332548,-0.002670434526264393
8.281407691144109,1.2113213249861958e-05,-7658.5798813415395,-0.01636470587148802
3.597390257266878,1.7930639764839703e-05,-3422.6113151734316,-0.0004049778617944329
6.113875507308893,1.7668240978026058e-05,-1168.3261855247802,-0.0006886957368289311
6.73931655089634,9.786507098648836e-06,-7691.22943800177,-0.010962824050691228
2.371603301759982,1.7433732112260163e-05,-4112.42858673333,-0.00014339729674838644
6.860358815211507,5.55511452073239e-06,-8217.121305162338,-0.02176576817864934
3.3641929894983322,1.3944048177230797e-05,-4912.027708855511,-0.0006112536453302771
2.520412743882236,8.450132559315547e-06,-5824.607619804974,-0.0005029501905577836
9.591084298026665,6.808503286659183e-06,-1251.9520333161672,-0.007393430368863108
9.725056264596475,6.154298024438138e-06,-4523.254545731801,-0.030807446091908434
8.46717878493169,1.5444331638172097e-05,-6854.442651218631,-0.012277955156545173
4.4369101533869655,1.0098124456520994e-05,-8973.1379360086,-0.003537140838310843
2.781376912051071,1.5871501572931423e-05,-8638.778541385589,-0.0005337288572552247
7.473864212097255,5.980345111984136e-06,-7972.147630438884,-0.025362468429883933
5.52121994991681,9.729355067459156e-06,-7741.300047937319,-0.0061029781872407735
2.9763058787582306,1.309236938563006e-05,-2344.45547942976,-0.00021516084981088162
5.9614152808901615,1.6860847472584457e-05,-4948.994905457275,-0.0028339524612317926
2.275108168921747,9.78128754398105e-06,-5289.481797630702,-0.00029022182883629534
9.274563216630256,1.4388370646555137e-05,-8967.080153177043,-0.022658265252077602
4.070239852800135,1.828966622354281e-05,-2258.7427598550858,-0.0003795140204110345
7.300178274831856,1.423794782273457e-05,-3494.671271123647,-0.004351772214964217
4.493688608715288,8.494392121304508e-06,-9390.984742899986,-0.004571877421679781
6.1605441694224865,5.366011723348071e-06,-3629.4841249320816,-0.007207046687047639
6.373682234746237,1.805148310851395e-05,-5108.156043916186,-0.003339099136839586
3.4788356442042163,5.319041162755808e-06,-9264.471888278997,-0.0033419186547564753
9.756677022116468,1.8120525090262994e-05,-5875.294226242092,-0.01372370747219256
8.201062586888916,1.2934057010408183e-05,-5637.733415829577,-0.010956881589933956
9.515991532513514,1.9086015477693444e-05,-8508.029138530517,-0.01750582819935433
9.158618803421192,1.6981748536604983e-05,-1488.7166769974592,-0.003069208711678099
6.783199830488681,1.9969011658000064e-05,-2350.2216566740426,-0.0016740287481146767
9.374993880184935,1.0260677231775653e-05,-3978.7989640380247,-0.014561153258340316
2.707940016415356,1.6507824333966904e-05,-5839.339950994535,-0.00032010898566090987
3.5678628993531616,1.1028963704138632e-05,-6294.110125739424,-0.0011812203678943519
2.3618183112843045,1.2198134304558635e-05,-4141.238795641412,-0.00020383705853064654
4.602642646106115,1.4412581948275553e-05,-5091.11317533785,-0.0015696381929675538
5.109418317515856,1.8105156712795085e-05,-9439.542047063029,-0.0031693473805377544
4.170792254191167,1.976125203798943e-05,-5387.476161067015,-0.000901432897560948
8.629900073215435,1.6524101207967774e-05,-2742.3674449044447,-0.004861070544619059
